Plot ID,1346,,Sampler(s),"MO, TT, GH",,,,,Date ,20190627,,,,,,,,,
C3,SA,5089,,,HETARB,1,0,,,,73.9,0.48,8,,,,,,BD OFF RESPROUT
C3,SA,5088,,,HETARB,0,0,,,,NA,0.69,NA,,,,,,OG DEAD
C3,SA,5109,,,AMOCAL,1,0,,,,175.3,0.82,19,,,,,,BD OFF RESPROUT
C2,SA,5087,,,HETARB,1,0,,,,51.1,0.41,5,,,,,,BD OFF RESPROUT
C2,TR,5101,,,QUEGAR,1,1,1,1,4,,,,26.8,54.1,1,,,
C2,SA,5598,,,AMOCAL,0,0,,,,NA,NA,NA,,,,1,,SAME AS 5107
C2,SA,5107,425,265,AMOCAL,1,0,,,,167.7,0.9,12,,,,,,BD OF RESPROUT
C2,TR,5103,,,QUEGAR,1,1,1,1,3,,,,26.2,NA,0,,,
C1,SA,5130,,,CERBET,0,1,,,,NA,0.26,NA,,39.9,,,,BD OFF RESPROUT
C1,SA,5599,,,CERBET,1,0,,,,116.5,0.66,2,,,,,,BD OFF RESPROUT
C1,SA,5085,,,CERBET,1,0,,,,67.5,0.38,20,,,,,,BD OFF RESPROUT
C1,SA,5084,,,CERBET,1,0,,,,57.4,0.27,1,,,,,,BD OFF RESPROUT
C1,SA,5106,,,CERBET,1,0,,,,79.6,0.51,17,,,,,,BD OFF RESPROUT
C1,SA,5105,,,CERBET,1,0,,,,NA,0.27,NA,,46.5,,,,BD OFF RESPROUT
C1,TS,5127,,,ARBMEN,0,0,,,,NA,NA,,,,,,,GONE/ TAG NOT FOUND
C1,SA,5082,,,CERBET,0,0,,,,NA,NA,NA,,,,,,
C1,SA,5083,,,CERBET,1,0,,,,39.4,0.25,NA,,,,,,BD OFF RESPROUT
B2,TR,5086,,,AMOCAL,0,1,0,0,0,,,,NA,161.4,6,,,
B2,TS,5086.1,,,AMOCAL,0,1,,,,NA,NA,NA,,224.4,5,,,
B2,SA,5069,,,HETARB,1,0,,,,53.2,0.57,14,,,,,,RESPROUT BD
B2,TR,5070,,,AMOCAL,0,1,0,0,0,,,,NA,225.6,6,,,
B2,TS,5070.1,,,AMOCAL,0,1,,,,NA,NA,,,182,4,,,TS NOT SA
B3,SA,5068,,,HETARB,1,0,,,,43,0.44,NA,,,,,,RESPROUT BD
B2,TR,5119,,,QUEKEL,0,0,0,0,0,,,,NA,,,,,DEAD/ GONE/ TAG NOT FOUND
B3,TR,5118,,,QUEGAR,1,1,1,1,3,,,,22.6,NA,0,,,
B3,TR,5067,,,QUEGAR,1,0,1,1,3,,,,25,,,,,
B3,SA,5116,,,AMOCAL,1,0,,,,156.4,0.77,6,,,,,,
B3,SA,5117,,,AMOCAL,1,0,,,,177.2,0.88,26,,,,,,
B3,SA,6345,193,210,AMOCAL,1,0,,,,92.3,0.51,6,,,,,,NEW SA
B3,SA,6344,213,210,AMOCAL,1,0,,,,121.8,0.61,2,,,,,,NEW SA
B3,SA,6343,,,AMOCAL,1,0,,,,116.5,0.57,2,,,,,,NEW SA
B4,SA,5113,,,AMOCAL,1,0,,,,143.4,0.772,5,,,,,,OG DEAD IN '18/ RESPROUT BD
B4,SA,5633,,,AMOCAL,1,0,,,,63.5,0.53,10,,,,,,REPROUT BD
B4,SA,5115,,,AMOCAL,1,0,,,,128.1,0.93,25,,,,,,REPROUT BD
B4,SA,5630,,,AMOCAL,1,0,,,,109.4,0.8,14,,,,,,REPROUT BD
B4,SA,5631,,,AMOCAL,1,0,,,,74.3,0.44,5,,,,,,REPROUT BD
B4,SA,5628,,,AMOCAL,1,0,,,,82.7,0.51,4,,,,,,REPROUT BD
B4,SA,5114,,,AMOCAL,1,0,,,,99.3,0.74,3,,,,,,REPROUT BD
B4,SA,5629,,,AMOCAL,1,0,,,,89,0.53,0,,,,,,REPROUT BD
B4,SA,5081,,,AMOCAL,1,0,,,,135.2,0.69,8,,,,,,REPROUT BD
C4,SA,5111,,,AMOCAL,1,0,,,,147.5,0.77,15,,,,,,REPROUT BD
D4,SA,5139,,,AMOCAL,1,0,,,,228.2,1.14,11,,,,,,REPROUT BD
D4,TR,5140,,,QUEGAR,1,0,1,0,1,,,,16.8,,,,,
D4,TR,5141,,,QUEGAR,1,1,1,1,3,,,,23.4,80.2,4,,,
D4,TR,5142,,,QUEGAR,1,0,1,1,3,,,,27,,,,,
D1,SA,5149,,,CERBET,1,0,,,,100.8,0.52,8,,,,,,RESPROUT OF BD
D1,SA,5150,,,CERBET,1,0,,,,92.5,0.57,14,,,,,,RESPROUT OF BD
D1,SA,5147,,,CERBET,1,0,,,,83.5,0.4,11,,,,,,RESPROUT OF BD
D1,SA,5148,,,CERBET,1,0,,,,36.5,0.2,NA,,,,,,RESPROUT OF BD
D1,SA,5151,,,CERBET,1,0,,,,89.1,0.56,1,,,,,,RESPROUT OF BD
D1,TR,5136,,,QUEAGRI,0,1,0,0,0,,,,NA,142.6,16,,,
D1,TR,5136.1,,,QUEAGRI,0,0,0,0,0,,,,1.26,,,,,
D1,SA,5648,,,AMOCAL,1,0,,,,125.9,0.77,2,,,,,,
D1,TR,5146,,,HETARB,0,1,0,0,0,,,,NA,,,,,ENGULFED IN P.O./ NO DATA
D1,TR,5152,,,HETARB,0,1,0,0,0,,,,NA,,,,,
D1,TR,5152.1,,,HETARB,0,0,0,0,0,,,,NA,122,9,1,,DEAD
C4,SA,6389,120,414,AMOCAL,1,0,,,,80.8,0.46,2,,,,,,NEW SA
C3,SA,6390,150,200,AMOCAL,1,0,,,,81,0.5,5,,,,,,NEW SA
C3,SA,6391,300,260,AMOCAL,1,0,,,,61.7,0.51,3,,,,,,NEW SA
D4,SA,5138,,,ARCMAN,0,0,,,,NA,NA,NA,,,,1,,
D4,SA,5647,,,AMOCAL,1,0,,,,172.2,0.68,3,,,,,,REPROUT BD
D4,SA,5137,,,AMOCAL,1,0,,,,193.3,0.86,28,,,,,,REPROUT BD
D4,TR,5143,,,UMBCAL,1,1,1,1,3,,,,11,234.6,25,,,
D4,TR,5143.1,,,UMBCAL,0,0,0,0,0,,,,5,,,,,
D4,TR,5143.2,,,UMBCAL,0,1,0,0,0,,,,3.1,228.5,15,,,
D4,TR,5143.3,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
D4,TS,5143.4,,,UMBCAL,0,0,,,,,,,NA,,,,,
D3,TR,5144,,,UMBCAL,0,1,0,0,0,,,,5.3,112.8,12,,,
D3,TS,5144.1,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
D2,TR,5131,,,QUEGAR,1,0,1,1,3,,,,14,,,,,
D2,TR,5132,,,QUEGAR,1,0,1,1,4,,,,41.9,,,,,CONNECTED TO 5101
D2,TR,5134,,,UMBCAL,1,1,1,1,3,,,,16.3,220.2,26,,,
D2,TR,5135,,,UMBCAL,1,1,1,1,3,,,,18.4,218.6,33,,,
D2,TR,5135.1,,,UMBCAL,0,0,0,0,0,NA,NA,NA,,,,1,,
D2,TR,5134.1,,,UMBCAL,0,0,0,0,0,,,,NA,,,1,,
D2,TS,5134.2,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
D2,TR,5133,,,UMBCAL,1,1,1,1,2,,,,14.2,128.5,18,,,
D2,TR,5133.1,,,UMBCAL,0,0,0,0,0,,,,1.22,,,,,
D2,TS,5133.2,,,UMBCAL,0,0,,,,NA,NA,,,,,1,,
D4,SA,6392,130,90,AMOCAL,1,0,,,,168.1,0.85,12,,,,,,NEW SA
D2,TR,5145,,,HETARB,0,1,0,0,0,,,,NA,134.6,7,,,
D2,TR,5145.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D2,TR,5145.2,,,HETARB,0,1,0,0,0,,,,NA,165.2,13,,,
D2,TR,5145.3,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D2,TR,5145.4,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D2,TR,5145.5,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D2,TR,5145.6,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
